Table 1,,,,,,,,
,8407,"Bloomington--Normal, IL                                                                             ",8407,"Bloomington--Normal, IL",132600,112415,49.19,37.17
,48799,"Leesburg--Eustis--Tavares, FL                                                                       ",48799,"Leesburg--Eustis, FL",131337,97497,94.42,71.01
,32194,"Gainesville, GA                                                                                     ",32194,"Gainesville, GA",130846,88680,126.27,90.37
,79417,"Santa Maria, CA                                                                                     ",79417,"Santa Maria, CA",130447,120297,29.13,35.55
,89326,"Tyler, TX                                                                                           ",89326,"Tyler, TX",130247,101494,90.24,57.46
,97507,"Yakima, WA                                                                                          ",97507,"Yakima, WA",129534,112816,59.83,50.36
,3763,"Athens-Clarke County, GA                                                                            ",3763,"Athens-Clarke County, GA",128754,106482,98.39,79.56
,47935,"Las Cruces, NM                                                                                      ",47935,"Las Cruces, NM",128600,104186,64.70,64.13
,34273,"Grand Junction, CO                                                                                  ",34273,"Grand Junction, CO",128124,92362,78.80,56.04
,64864,"Odessa, TX                                                                                          ",64864,"Odessa, TX",126405,111395,58.93,53.26
,77149,"Saginaw, MI                                                                                         ",77149,"Saginaw, MI",126265,140985,71.22,73.74
,82144,"Simi Valley, CA                                                                                     ",82144,"Simi Valley, CA",125206,112345,31.43,27.07
,18937,"Columbia, MO                                                                                        ",18937,"Columbia, MO",124748,98779,61.81,51.52
,44506,"Kenosha, WI--IL                                                                                     ",44506,"Kenosha, WI",124064,110942,51.21,42.15
,30925,"Fort Smith, AR--OK                                                                                  ",30925,"Fort Smith, AR--OK",122947,106470,70.77,55.30
,55603,"Mauldin--Simpsonville, SC                                                                           ",55603,"Mauldin--Simpsonville, SC",120577,77831,83.56,55.86
,43210,"Johnson City, TN                                                                                    ",43210,"Johnson City, TN",120415,102456,109.91,90.92
,24850,"Duluth, MN--WI                                                                                      ",24850,"Duluth, MN--WI",120378,118265,70.48,66.27
,11728,"Burlington, NC                                                                                      ",11728,"Burlington, NC",119911,94248,90.43,64.75
,83332,"South Lyon--Howell, MI                                                                              ",83332,"South Lyon--Howell--Brighton, MI",119509,106139,102.79,95.02
,78985,"San Germán--Cabo Rojo--Sabana Grande, PR                                                            ",78985,"San Germán--Cabo Rojo--Sabana Grande, PR",118199,112939,95.48,90.27
,34786,"Greeley, CO                                                                                         ",34786,"Greeley, CO",117825,93879,41.23,33.73
,57007,"Midland, TX                                                                                         ",57007,"Midland, TX",117807,99221,52.88,45.26
,35380,"Greenville, NC                                                                                      ",35380,"Greenville, NC",117798,84059,65.20,44.92
,73774,"Redding, CA                                                                                         ",73774,"Redding, CA",117731,105267,71.06,70.64
,89785,"Utica, NY                                                                                           ",89785,"Utica, NY",117328,113409,62.39,54.96
,49096,"Leominster--Fitchburg, MA                                                                           ",49096,"Leominster--Fitchburg, MA",116960,112943,65.04,62.64
,97939,"Yuba City, CA                                                                                       ",97939,"Yuba City, CA",116719,97645,38.66,35.37
,52201,"Lynchburg, VA                                                                                       ",52201,"Lynchburg, VA",116636,98714,88.81,74.50
,58330,"Monroe, LA                                                                                          ",58330,"Monroe, LA",116533,113818,81.94,78.45
,7705,"Billings, MT                                                                                        ",7705,"Billings, MT",114773,100317,52.96,45.77
,9298,"Boulder, CO                                                                                         ",9298,"Boulder, CO",114591,112299,32.49,32.88
,6652,"Bellingham, WA                                                                                      ",6652,"Bellingham, WA",114473,84324,48.12,35.48
,80362,"Seaside--Monterey, CA                                                                               ",80362,"Seaside--Monterey--Marina, CA",114237,125503,38.69,40.64
,43669,"Kailua (Honolulu County)--Kaneohe, HI                                                               ",43669,"Kailua (Honolulu County)--Kaneohe, HI",113682,117730,39.04,32.62
,92593,"Waterloo, IA                                                                                        ",92593,"Waterloo, IA",113418,108298,62.23,52.75
,45937,"Lady Lake--The Villages, FL                                                                         ",45937,"Lady Lake, FL",112991,50721,71.07,49.98
,24580,"Dover, DE                                                                                           ",24580,"Dover, DE",110769,65044,74.03,43.42
,77338,"St. Cloud, MN                                                                                       ",77338,"St. Cloud, MN",110621,91305,50.25,39.48
,280,"Abilene, TX                                                                                         ",280,"Abilene, TX",110421,107041,54.73,47.56
,91261,"Waldorf, MD                                                                                         ",77257,"St. Charles, MD",109919,74765,67.97,46.20
,55738,"Mayagüez, PR                                                                                        ",55738,"Mayagüez, PR",109572,119350,53.74,60.32
,11755,"Burlington, VT                                                                                      ",11755,"Burlington, VT",108740,105365,61.76,61.83
,8380,"Bloomington, IN                                                                                     ",8380,"Bloomington, IN",108657,92456,44.80,43.00
,71749,"Pottstown, PA                                                                                       ",71749,"Pottstown, PA",107682,73597,78.83,54.97
,75637,"Rochester, MN                                                                                       ",75637,"Rochester, MN",107677,91271,50.58,40.26
,26416,"El Centro--Calexico, CA                                                                             ",26416,"El Centro, CA",107672,52954,30.00,16.50
,41590,"Iowa City, IA                                                                                       ",41590,"Iowa City, IA",106621,85247,45.58,35.75
,45235,"Kingsport, TN--VA                                                                                   ",45235,"Kingsport, TN--VA",106571,95766,113.56,97.99
,82225,"Sioux City, IA--NE--SD                                                                              ",82225,"Sioux City, IA--NE--SD",106494,106119,54.37,52.77
,87220,"Texas City, TX                                                                                      ",87220,"Texas City, TX",106383,96417,76.01,58.56
,42400,"Jacksonville, NC                                                                                    ",42400,"Jacksonville, NC",105419,95514,71.34,64.10
,75745,"Rock Hill, SC                                                                                       ",75745,"Rock Hill, SC",104996,70007,95.62,61.18
,63433,"Norman, OK                                                                                          ",63433,"Norman, OK",103898,86478,44.88,30.24
,26038,"Eau Claire, WI                                                                                      ",26038,"Eau Claire, WI",102852,91393,69.00,57.49
,45910,"La Crosse, WI--MN                                                                                   ",45910,"La Crosse, WI--MN",100868,89966,50.99,40.39
,39430,"Holland, MI                                                                                         ",39430,"Holland, MI",99941,91921,59.24,47.95
,89083,"Turlock, CA                                                                                         ",89083,"Turlock, CA",99904,69507,25.79,18.66
,95104,"Wichita Falls, TX                                                                                   ",95104,"Wichita Falls, TX",99437,99396,50.36,51.94
,51256,"Longview, TX                                                                                        ",51256,"Longview, TX",98884,78070,83.03,50.61
,33328,"Gilroy--Morgan Hill, CA                                                                             ",33328,"Gilroy--Morgan Hill, CA",98413,84620,45.44,38.30
,18451,"Coeur d'Alene, ID                                                                                   ",18451,"Coeur d'Alene, ID",98378,74800,47.24,42.15
,77446,"St. George, UT                                                                                      ",77446,"St. George, UT",98370,62630,44.89,33.61
,16318,"Chico, CA                                                                                           ",16318,"Chico, CA",98176,89221,34.41,34.93
,78364,"Salisbury, MD--DE                                                                                   ",78364,"Salisbury, MD--DE",98081,59426,70.70,42.94
,56926,"Middletown, OH                                                                                      ",56926,"Middletown, OH",97503,94355,56.10,48.03
,901,"Albany, GA                                                                                          ",901,"Albany, GA",95779,95450,70.84,65.89
,90730,"Vineland, NJ                                                                                        ",90730,"Vineland, NJ",95259,88724,61.90,61.58
,50959,"Logan, UT                                                                                           ",50959,"Logan, UT",94983,76187,43.93,38.36
,48394,"Lawton, OK                                                                                          ",48394,"Lawton, OK",94457,89556,44.07,55.19
,22717,"Decatur, IL                                                                                         ",22717,"Decatur, IL",93863,96454,59.20,50.15
,89866,"Vacaville, CA                                                                                       ",89866,"Vacaville, CA",93141,90264,27.41,25.33
,78553,"San Angelo, TX                                                                                      ",78553,"San Angelo, TX",92984,87969,46.68,45.61
,87139,"Terre Haute, IN                                                                                     ",87139,"Terre Haute, IN",92742,79376,53.45,43.24
,15724,"Charlottesville, VA                                                                                 ",15724,"Charlottesville, VA",92359,81449,34.56,37.47
,82468,"Slidell, LA                                                                                         ",82468,"Slidell, LA",91151,79926,58.60,56.17
,97561,"Yauco, PR                                                                                           ",97561,"Yauco, PR",90899,108024,46.55,63.89
,51175,"Longmont, CO                                                                                        ",51175,"Longmont, CO",90897,72929,26.23,22.65
,40996,"Idaho Falls, ID                                                                                     ",40996,"Idaho Falls, ID",90733,66973,44.51,30.99
,60625,"Muncie, IN                                                                                          ",60625,"Muncie, IN",90580,90673,46.67,42.99
,87058,"Temple, TX                                                                                          ",87058,"Temple, TX",90390,71937,54.10,41.34
,42157,"Jackson, MI                                                                                         ",42157,"Jackson, MI",90057,88050,57.67,51.61
,30061,"Florence, SC                                                                                        ",30061,"Florence, SC",89557,67314,71.05,62.55
,79363,"Santa Fe, NM                                                                                        ",79363,"Santa Fe, NM",89284,80337,53.09,45.38
,53794,"Mandeville--Covington, LA                                                                           ",53794,"Mandeville--Covington, LA",88925,62866,65.60,46.39
,8002,"Blacksburg, VA                                                                                      ",8002,"Blacksburg, VA",88542,57236,51.21,26.32
,71506,"Portsmouth, NH--ME                                                                                  ",71506,"Portsmouth, NH--ME",88200,50912,92.67,42.92
,2386,"Anderson, IN                                                                                        ",2386,"Anderson, IN",88133,97038,66.06,63.34
,24607,"Dover--Rochester, NH--ME                                                                            ",24607,"Dover--Rochester, NH--ME",88087,80456,66.42,63.52
,48232,"Lawrence, KS                                                                                        ",48232,"Lawrence, KS",88053,79647,30.44,22.70
,36703,"Hanford, CA                                                                                         ",36703,"Hanford, CA",87941,69639,27.74,25.47
,88273,"Tracy, CA                                                                                           ",88273,"Tracy, CA",87569,59020,22.26,12.77
,84493,"State College, PA                                                                                   ",84493,"State College, PA",87454,71301,28.83,21.40
,71155,"Port Huron, MI                                                                                      ",71155,"Port Huron, MI",87106,86486,60.44,55.53
,83980,"Springfield, OH                                                                                     ",83980,"Springfield, OH",85256,89684,48.96,43.85
,22069,"Dalton, GA                                                                                          ",22069,"Dalton, GA",85239,57666,80.82,54.40
,28981,"Fajardo, PR                                                                                         ",28981,"Fajardo, PR",85225,78595,50.80,43.25
,48826,"Lee's Summit, MO                                                                                    ",48826,"Lee's Summit, MO",85081,55285,41.32,22.73
,72112,"Prescott Valley--Prescott, AZ                                                                       ",72046,"Prescott, AZ",84744,61909,50.98,38.81
,61057,"Napa, CA                                                                                            ",61057,"Napa, CA",83913,79867,25.82,23.52
,1765,"Alton, IL--MO                                                                                       ",1765,"Alton, IL",83890,84655,54.81,51.17
,6868,"Bend, OR                                                                                            ",6868,"Bend, OR",83794,57525,39.71,36.39
,54145,"Manteca, CA                                                                                         ",54145,"Manteca, CA",83578,51176,21.83,13.61
,1279,"Alexandria, LA                                                                                      ",1279,"Alexandria, LA",82804,78504,65.54,58.33
,43399,"Joplin, MO                                                                                          ",43399,"Joplin, MO",82775,72089,64.41,57.30
,57736,"Missoula, MT                                                                                        ",57736,"Missoula, MT",82157,69491,45.20,36.38
,7921,"Bismarck, ND                                                                                        ",7921,"Bismarck, ND",81955,74991,38.76,33.92
,43885,"Kankakee, IL                                                                                        ",43885,"Kankakee, IL",81926,65073,37.16,27.60
,50527,"Livermore, CA                                                                                       ",50527,"Livermore, CA",81624,75202,24.47,20.87
,73396,"Rapid City, SD                                                                                      ",73396,"Rapid City, SD",81251,66780,42.25,30.39
,94726,"Wheeling, WV--OH                                                                                    ",94726,"Wheeling, WV--OH",81249,87613,47.01,54.30
,77743,"St. Joseph, MO--KS                                                                                  ",77743,"St. Joseph, MO--KS",81176,77231,41.85,38.67
,43453,"Juana Díaz, PR                                                                                      ",43453,"Juana Díaz, PR",80928,54835,47.81,31.57
,37594,"Hattiesburg, MS                                                                                     ",37594,"Hattiesburg, MS",80358,61465,69.00,38.98
,35866,"Guayama, PR                                                                                         ",35866,"Guayama, PR",80155,77755,40.73,40.41
,1792,"Altoona, PA                                                                                         ",1792,"Altoona, PA",79930,82520,37.39,37.57
,2629,"Anniston--Oxford, AL                                                                                ",2629,"Anniston, AL",79796,75840,86.77,78.29
,46126,"Lafayette--Louisville--Erie, CO                                                                     ",46126,"Lafayette--Louisville, CO",79407,60387,39.53,31.28
,52984,"Madera, CA                                                                                          ",52984,"Madera, CA",78413,58027,22.39,22.61
,5707,"Battle Creek, MI                                                                                    ",5707,"Battle Creek, MI",78393,79135,53.02,51.16
,9379,"Bowling Green, KY                                                                                   ",9379,"Bowling Green, KY",78306,58314,45.40,36.44
,87193,"Texarkana--Texarkana, TX--AR                                                                        ",87193,"Texarkana, TX--Texarkana, AR",78162,72288,64.40,58.04
,48664,"Lebanon, PA                                                                                         ",48664,"Lebanon, PA",77086,63681,45.08,29.82
,89974,"Valdosta, GA                                                                                        ",89974,"Valdosta, GA",77085,57647,55.71,37.93
,29953,"Florence, AL                                                                                        ",29953,"Florence, AL",77074,71299,62.14,51.66
,61705,"Newark, OH                                                                                          ",61705,"Newark, OH",76068,70001,42.12,35.41
,2413,"Anderson, SC                                                                                        ",2413,"Anderson, SC",75702,70436,74.09,68.88
,54091,"Mansfield, OH                                                                                       ",54091,"Mansfield, OH",75250,79698,50.32,50.70
,46801,"Lake Jackson--Angleton, TX                                                                          ",46801,"Lake Jackson--Angleton, TX",74830,73416,41.69,33.82
,4033,"Auburn, AL                                                                                          ",4033,"Auburn, AL",74741,60137,49.91,39.97
,93025,"Wausau, WI                                                                                          ",93025,"Wausau, WI",74632,68221,46.87,37.35
,66160,"Oshkosh, WI                                                                                         ",66160,"Oshkosh, WI",74495,71070,30.81,26.57
,16237,"Cheyenne, WY                                                                                        ",16237,"Cheyenne, WY",73588,68202,35.13,33.86
,92890,"Watsonville, CA                                                                                     ",92890,"Watsonville, CA",73534,66500,22.84,19.12
,26750,"Elizabethtown--Radcliff, KY                                                                         ",73180,"Radcliff--Elizabethtown, KY",73467,64504,56.96,43.51
,85708,"Sumter, SC                                                                                          ",85708,"Sumter, SC",73107,64320,65.69,44.68
,49852,"Lima, OH                                                                                            ",49852,"Lima, OH",72852,74071,52.35,46.32
,22420,"Davis, CA                                                                                           ",22420,"Davis, CA",72794,66022,14.12,13.63
,94294,"Westminster--Eldersburg, MD                                                                         ",94294,"Westminster, MD",72714,65034,57.70,53.43
,29818,"Flagstaff, AZ                                                                                       ",29818,"Flagstaff, AZ",71957,57050,34.83,32.46
,42265,"Jackson, TN                                                                                         ",42265,"Jackson, TN",71880,65086,51.14,38.77
,12754,"Camarillo, CA                                                                                       ",12754,"Camarillo, CA",71772,62798,22.00,21.32
,30115,"Florida--Imbéry--Barceloneta, PR                                                                    ",30115,"Florida--Barceloneta--Bajadero, PR",71747,68811,45.81,49.41
,81118,"Sheboygan, WI                                                                                       ",81118,"Sheboygan, WI",71313,68600,33.44,25.76
,93592,"Weirton--Steubenville, WV--OH--PA                                                                   ",93592,"Weirton, WV--Steubenville, OH--PA",70889,73710,50.51,50.54
,5869,"Bay City, MI                                                                                        ",5869,"Bay City, MI",70585,74048,40.33,39.78
,66484,"Owensboro, KY                                                                                       ",66484,"Owensboro, KY",70543,67665,33.82,38.53
,22690,"Decatur, AL                                                                                         ",22690,"Decatur, AL",70436,52315,58.29,28.19
,59275,"Morgantown, WV                                                                                      ",59275,"Morgantown, WV",70350,55997,37.49,34.13
,71074,"Porterville, CA                                                                                     ",71074,"Porterville, CA",70272,60261,20.51,21.10
,70426,"Pocatello, ID                                                                                       ",70426,"Pocatello, ID",69809,62498,31.01,29.94
,42562,"Janesville, WI                                                                                      ",42562,"Janesville, WI",69658,66034,30.78,29.35
,10351,"Bristol--Bristol, TN--VA                                                                            ",10351,"Bristol, TN--Bristol, VA",69501,58472,63.89,51.08
,96103,"Winchester, VA                                                                                      ",96103,"Winchester, VA",69449,53559,37.18,33.14
,77230,"St. Augustine, FL                                                                                   ",77230,"St. Augustine, FL",69173,53519,43.06,34.62
,43291,"Johnstown, PA                                                                                       ",43291,"Johnstown, PA",69014,76113,38.61,42.79
,39079,"Hilton Head Island, SC                                                                              ",39079,"Hilton Head Island, SC",68998,34400,67.62,41.95
,24472,"Dothan, AL                                                                                          ",24472,"Dothan, AL",68781,60792,55.50,53.47
,50851,"Lodi, CA                                                                                            ",50851,"Lodi, CA",68738,83735,15.91,23.54
,22960,"DeKalb, IL                                                                                          ",22960,"DeKalb, IL",68545,55805,25.79,17.88
,93916,"West Bend, WI                                                                                       ",93916,"West Bend, WI",68444,33288,38.49,23.27
,75988,"Rocky Mount, NC                                                                                     ",75988,"Rocky Mount, NC",68243,61657,45.96,40.79
,27118,"Elmira, NY                                                                                          ",27118,"Elmira, NY",67983,67159,37.80,34.61
,24823,"Dubuque, IA--IL                                                                                     ",24823,"Dubuque, IA--IL",67818,65251,33.79,30.23
,36514,"Hammond, LA                                                                                         ",36514,"Hammond, LA",67629,43458,76.63,48.76
,67672,"Parkersburg, WV--OH                                                                                 ",67672,"Parkersburg, WV--OH",67229,85605,42.38,50.44
,93862,"Wenatchee, WA                                                                                       ",93862,"Wenatchee, WA",67227,55425,31.37,26.64
,37162,"Harrisonburg, VA                                                                                    ",37162,"Harrisonburg, VA",66784,52647,32.55,26.69
,17722,"Cleveland, TN                                                                                       ",17722,"Cleveland, TN",66777,58192,54.60,48.24
,98182,"Zephyrhills, FL                                                                                     ",98182,"Zephyrhills, FL",66609,53979,43.49,41.23
,36784,"Hanover, PA                                                                                         ",36784,"Hanover, PA",66301,48696,36.10,26.71
,58168,"Monessen--California, PA                                                                            ",58168,"Monessen, PA",66086,56508,44.72,36.54
,56656,"Michigan City--La Porte, IN--MI                                                                     ",56656,"Michigan City, IN--MI",66025,66199,38.96,33.24
,33598,"Glens Falls, NY                                                                                     ",33598,"Glens Falls, NY",65443,57627,41.55,35.35
,43345,"Jonesboro, AR                                                                                       ",43345,"Jonesboro, AR",65419,51804,46.95,39.91
,19801,"Conway, AR                                                                                          ",19801,"Conway, AR",65277,43891,39.70,23.27
,34759,"Great Falls, MT                                                                                     ",34759,"Great Falls, MT",65207,64387,31.11,28.70
,27261,"El Paso de Robles (Paso Robles)--Atascadero, CA                                                     ",3574,"Atascadero--El Paso de Robles (Paso Robles), CA",65088,54762,31.44,30.79
,14482,"Casper, WY                                                                                          ",14482,"Casper, WY",64548,57719,30.34,26.12
,28549,"Fairbanks, AK                                                                                       ",28549,"Fairbanks, AK",64513,51926,55.12,43.11
,32113,"Gadsden, AL                                                                                         ",32113,"Gadsden, AL",64172,61709,72.04,59.72
,79633,"Saratoga Springs, NY                                                                                ",79633,"Saratoga Springs, NY",64100,51172,45.48,36.90
,68887,"Petaluma, CA                                                                                        ",68887,"Petaluma, CA",64078,59958,21.31,18.47
,89263,"Twin Rivers--Hightstown, NJ                                                                         ",38836,"Hightstown, NJ",64037,69977,35.24,29.92
,6139,"Beckley, WV                                                                                         ",6139,"Beckley, WV",64022,46860,60.97,40.11
,51283,"Longview, WA--OR                                                                                    ",51283,"Longview, WA--OR",63952,60443,32.86,26.86
,6760,"Beloit, WI--IL                                                                                      ",6760,"Beloit, WI--IL",63835,56462,34.35,27.85
,51499,"Los Lunas, NM                                                                                       ",51499,"Los Lunas, NM",63758,36101,69.26,35.64
,90514,"Victoria, TX                                                                                        ",90514,"Victoria, TX",63683,61529,29.02,51.01
,60490,"Mount Vernon, WA                                                                                    ",60490,"Mount Vernon, WA",62966,51174,34.47,31.72
,20422,"Corvallis, OR                                                                                       ",20422,"Corvallis, OR",62433,58229,21.11,28.98
,45694,"Kokomo, IN                                                                                          ",45694,"Kokomo, IN",62182,63739,36.26,35.48
,81631,"Sherman, TX                                                                                         ",81631,"Sherman, TX",61900,56168,35.93,31.88
,80416,"Sebring--Avon Park, FL                                                                              ",80416,"Sebring--Avon Park, FL",61625,45123,46.17,34.44
,34219,"Grand Forks, ND--MN                                                                                 ",34219,"Grand Forks, ND--MN",61270,56573,24.44,16.76
,4951,"Bangor, ME                                                                                          ",4951,"Bangor, ME",61210,58983,42.51,38.73
,33814,"Goldsboro, NC                                                                                       ",33814,"Goldsboro, NC",61054,57915,52.91,43.74
,7138,"Benton Harbor--St. Joseph--Fair Plain, MI                                                           ",7138,"Benton Harbor--St. Joseph, MI",61022,61745,46.67,45.40
,76204,"Rome, GA                                                                                            ",76204,"Rome, GA",60851,58287,47.67,40.84
,2062,"Ames, IA                                                                                            ",2062,"Ames, IA",60438,50726,23.23,15.79
,49339,"Lewiston, ME                                                                                        ",49339,"Lewiston, ME",59397,50567,35.40,20.64
,79147,"San Luis Obispo, CA                                                                                 ",79147,"San Luis Obispo, CA",59219,53498,20.41,14.83
,69778,"Pittsfield, MA                                                                                      ",69778,"Pittsfield, MA",59124,52772,33.50,33.83
,59410,"Morristown, TN                                                                                      ",59410,"Morristown, TN",59036,54368,59.84,45.40
,56980,"Midland, MI                                                                                         ",56980,"Midland, MI",59014,49387,44.87,30.69
,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD                                            ",16129,"Chesapeake Ranch Estates-Drum Point, MD",58875,43196,49.94,35.02
,42967,"Jefferson City, MO                                                                                  ",42967,"Jefferson City, MO",58533,53714,39.99,38.16
,56899,"Middletown, NY                                                                                      ",56899,"Middletown, NY",58381,50071,31.32,28.18
,14158,"Carson City, NV                                                                                     ",14158,"Carson City, NV",58079,58263,23.09,28.08
,92674,"Watertown, NY                                                                                       ",92674,"Watertown, NY",57840,46434,40.94,23.90
,53983,"Mankato, MN                                                                                         ",53983,"Mankato, MN",57584,47115,26.37,20.78
,45262,"Kingston, NY                                                                                        ",45262,"Kingston, NY",57442,53458,42.84,33.66
,22285,"Daphne--Fairhope, AL                                                                                ",22285,"Daphne--Fairhope, AL",57383,38110,55.25,32.49
,955,"Albany, OR                                                                                          ",955,"Albany, OR",56997,42193,23.96,16.22
,37945,"Hazleton, PA                                                                                        ",37945,"Hazleton, PA",56827,51746,31.23,28.88
,95455,"Williamsport, PA                                                                                    ",95455,"Williamsport, PA",56142,58693,26.50,26.97
,43615,"Kahului, HI                                                                                         ",43615,"Kahului, HI",55934,40499,16.68,13.27
,91405,"Walla Walla, WA--OR                                                                                 ",91405,"Walla Walla, WA",55805,43366,27.67,23.00
,96994,"Woodland, CA                                                                                        ",96994,"Woodland, CA",55513,49168,12.20,8.71
,40213,"Hot Springs, AR                                                                                     ",40213,"Hot Springs, AR",55121,51763,44.92,45.34
,19126,"Columbus, IN                                                                                        ",19126,"Columbus, IN",54933,50227,27.25,25.86
,30223,"Fond du Lac, WI                                                                                     ",30223,"Fond du Lac, WI",54901,50058,28.85,20.36
,53848,"Manhattan, KS                                                                                       ",53848,"Manhattan, KS",54622,46671,20.71,15.75
,87787,"Titusville, FL                                                                                      ",87787,"Titusville, FL",54386,52922,30.07,31.52
,22987,"Delano, CA                                                                                          ",22987,"Delano, CA",54372,39512,9.92,5.93
,25849,"East Stroudsburg, PA--NJ                                                                            ",25849,"East Stroudsburg, PA",54316,40664,52.10,40.63
,41914,"Ithaca, NY                                                                                          ",41914,"Ithaca, NY",53661,53528,24.58,29.71
,8434,"Bloomsburg--Berwick, PA                                                                             ",8434,"Bloomsburg--Berwick, PA",53618,48245,32.68,25.26
,69454,"Pine Bluff, AR                                                                                      ",69454,"Pine Bluff, AR",53495,58584,37.18,35.48
,46747,"Lake Havasu City, AZ                                                                                ",46747,"Lake Havasu City, AZ",53427,42787,29.54,26.83
,29278,"Farmington, NM                                                                                      ",29278,"Farmington, NM",53049,53294,34.89,43.06
,13537,"Cape Girardeau, MO--IL                                                                              ",13537,"Cape Girardeau, MO--IL",52900,46968,35.03,25.05
,79201,"San Marcos, TX                                                                                      ",79201,"San Marcos, TX",52826,47333,26.58,24.98
,81901,"Sierra Vista, AZ                                                                                    ",81901,"Sierra Vista, AZ",52745,46941,30.28,80.44
,14185,"Cartersville, GA                                                                                    ",14185,"Cartersville, GA",52477,33685,50.60,38.24
,3196,"Arroyo Grande--Grover Beach, CA                                                                     ",3196,"Arroyo Grande--Grover Beach, CA",52000,47550,23.02,18.47
,49312,"Lewiston, ID--WA                                                                                    ",49312,"Lewiston, ID--WA",51924,50317,28.22,28.31
,21745,"Cumberland, MD--WV--PA                                                                              ",21745,"Cumberland, MD--WV--PA",51899,52115,32.63,32.72
,51040,"Lompoc, CA                                                                                          ",51040,"Lompoc, CA",51509,55667,10.70,60.10
,39133,"Hinesville, GA                                                                                      ",39133,"Hinesville, GA",51456,50360,31.14,27.16
,89650,"Uniontown--Connellsville, PA                                                                        ",89650,"Uniontown--Connellsville, PA",51370,58442,38.82,44.61
,14401,"Casa Grande, AZ                                                                                     ",14401,"Casa Grande, AZ",51331,29815,22.27,16.40
,90658,"Villas, NJ                                                                                          ",95293,"Wildwood--North Wildwood--Cape May, NJ",51291,52550,33.88,38.77
,58357,"Monroe, MI                                                                                          ",58357,"Monroe, MI",51240,53153,32.10,29.59
,11026,"Brunswick, GA                                                                                       ",11026,"Brunswick, GA",51024,51653,43.38,43.02
,22204,"Danville, IL                                                                                    ",22204,"Danville, IL",50996,53223,29.81,30.93
,15184,"Chambersburg, PA                                                                                    ",15184,"Chambersburg, PA",50887,37872,37.37,27.33
,34516,"Grants Pass, OR                                                                                     ",34516,"Grants Pass, OR",50520,43811,27.20,25.40
,61840,"New Bern, NC                                                                                        ",61840,"New Bern, NC",50503,38788,43.41,34.32
,34246,"Grand Island, NE                                                                                    ",34246,"Grand Island, NE",50440,45499,28.13,22.67
,67807,"Pascagoula, MS                                                                                      ",67807,"Pascagoula, MS",50428,54190,39.54,34.05